x	y	z	T
-2.500000e-05	-2.500000e-05	0.000000e+00	3.354154e+02
-2.500000e-05	-2.250000e-05	0.000000e+00	3.355859e+02
-2.500000e-05	-2.000000e-05	0.000000e+00	3.361071e+02
-2.500000e-05	-1.750000e-05	0.000000e+00	3.360515e+02
-2.500000e-05	-1.500000e-05	0.000000e+00	3.360953e+02
-2.500000e-05	-1.250000e-05	0.000000e+00	3.359627e+02
-2.500000e-05	-1.000000e-05	0.000000e+00	3.357130e+02
-2.500000e-05	-7.500000e-06	0.000000e+00	3.355504e+02
-2.500000e-05	-5.000000e-06	0.000000e+00	3.352841e+02
-2.500000e-05	-2.500000e-06	0.000000e+00	3.351553e+02
-2.500000e-05	0.000000e+00	0.000000e+00	3.351187e+02
-2.500000e-05	2.500000e-06	0.000000e+00	3.351557e+02
-2.500000e-05	5.000000e-06	0.000000e+00	3.352850e+02
-2.500000e-05	7.500000e-06	0.000000e+00	3.355518e+02
-2.500000e-05	1.000000e-05	0.000000e+00	3.357151e+02
-2.500000e-05	1.250000e-05	0.000000e+00	3.359655e+02
-2.500000e-05	1.500000e-05	0.000000e+00	3.360988e+02
-2.500000e-05	1.750000e-05	0.000000e+00	3.360553e+02
-2.500000e-05	2.000000e-05	0.000000e+00	3.361111e+02
-2.500000e-05	2.250000e-05	0.000000e+00	3.355896e+02
-2.500000e-05	2.500000e-05	0.000000e+00	3.354184e+02
-2.250000e-05	-2.500000e-05	0.000000e+00	3.355865e+02
-2.250000e-05	-2.250000e-05	0.000000e+00	3.360176e+02
-2.250000e-05	-2.000000e-05	0.000000e+00	3.363711e+02
-2.250000e-05	-1.750000e-05	0.000000e+00	3.364747e+02
-2.250000e-05	-1.500000e-05	0.000000e+00	3.364804e+02
-2.250000e-05	-1.250000e-05	0.000000e+00	3.363717e+02
-2.250000e-05	-1.000000e-05	0.000000e+00	3.361701e+02
-2.250000e-05	-7.500000e-06	0.000000e+00	3.359777e+02
-2.250000e-05	-5.000000e-06	0.000000e+00	3.357708e+02
-2.250000e-05	-2.500000e-06	0.000000e+00	3.356513e+02
-2.250000e-05	0.000000e+00	0.000000e+00	3.356189e+02
-2.250000e-05	2.500000e-06	0.000000e+00	3.356518e+02
-2.250000e-05	5.000000e-06	0.000000e+00	3.357718e+02
-2.250000e-05	7.500000e-06	0.000000e+00	3.359792e+02
-2.250000e-05	1.000000e-05	0.000000e+00	3.361722e+02
-2.250000e-05	1.250000e-05	0.000000e+00	3.363744e+02
-2.250000e-05	1.500000e-05	0.000000e+00	3.364835e+02
-2.250000e-05	1.750000e-05	0.000000e+00	3.364782e+02
-2.250000e-05	2.000000e-05	0.000000e+00	3.363746e+02
-2.250000e-05	2.250000e-05	0.000000e+00	3.360207e+02
-2.250000e-05	2.500000e-05	0.000000e+00	3.355889e+02
-2.000000e-05	-2.500000e-05	0.000000e+00	3.361079e+02
-2.000000e-05	-2.250000e-05	0.000000e+00	3.363713e+02
-2.000000e-05	-2.000000e-05	0.000000e+00	3.368413e+02
-2.000000e-05	-1.750000e-05	0.000000e+00	3.368315e+02
-2.000000e-05	-1.500000e-05	0.000000e+00	3.368559e+02
-2.000000e-05	-1.250000e-05	0.000000e+00	3.367239e+02
-2.000000e-05	-1.000000e-05	0.000000e+00	3.364839e+02
-2.000000e-05	-7.500000e-06	0.000000e+00	3.363061e+02
-2.000000e-05	-5.000000e-06	0.000000e+00	3.360554e+02
-2.000000e-05	-2.500000e-06	0.000000e+00	3.359274e+02
-2.000000e-05	0.000000e+00	0.000000e+00	3.358910e+02
-2.000000e-05	2.500000e-06	0.000000e+00	3.359280e+02
-2.000000e-05	5.000000e-06	0.000000e+00	3.360565e+02
-2.000000e-05	7.500000e-06	0.000000e+00	3.363078e+02
-2.000000e-05	1.000000e-05	0.000000e+00	3.364860e+02
-2.000000e-05	1.250000e-05	0.000000e+00	3.367266e+02
-2.000000e-05	1.500000e-05	0.000000e+00	3.368590e+02
-2.000000e-05	1.750000e-05	0.000000e+00	3.368348e+02
-2.000000e-05	2.000000e-05	0.000000e+00	3.368447e+02
-2.000000e-05	2.250000e-05	0.000000e+00	3.363742e+02
-2.000000e-05	2.500000e-05	0.000000e+00	3.361101e+02
-1.750000e-05	-2.500000e-05	0.000000e+00	3.360520e+02
-1.750000e-05	-2.250000e-05	0.000000e+00	3.364747e+02
-1.750000e-05	-2.000000e-05	0.000000e+00	3.368313e+02
-1.750000e-05	-1.750000e-05	0.000000e+00	3.369105e+02
-1.750000e-05	-1.500000e-05	0.000000e+00	3.368954e+02
-1.750000e-05	-1.250000e-05	0.000000e+00	3.367768e+02
-1.750000e-05	-1.000000e-05	0.000000e+00	3.365704e+02
-1.750000e-05	-7.500000e-06	0.000000e+00	3.363675e+02
-1.750000e-05	-5.000000e-06	0.000000e+00	3.361495e+02
-1.750000e-05	-2.500000e-06	0.000000e+00	3.360169e+02
-1.750000e-05	0.000000e+00	0.000000e+00	3.359749e+02
-1.750000e-05	2.500000e-06	0.000000e+00	3.360175e+02
-1.750000e-05	5.000000e-06	0.000000e+00	3.361508e+02
-1.750000e-05	7.500000e-06	0.000000e+00	3.363693e+02
-1.750000e-05	1.000000e-05	0.000000e+00	3.365728e+02
-1.750000e-05	1.250000e-05	0.000000e+00	3.367797e+02
-1.750000e-05	1.500000e-05	0.000000e+00	3.368986e+02
-1.750000e-05	1.750000e-05	0.000000e+00	3.369139e+02
-1.750000e-05	2.000000e-05	0.000000e+00	3.368348e+02
-1.750000e-05	2.250000e-05	0.000000e+00	3.364779e+02
-1.750000e-05	2.500000e-05	0.000000e+00	3.360545e+02
-1.500000e-05	-2.500000e-05	0.000000e+00	3.360952e+02
-1.500000e-05	-2.250000e-05	0.000000e+00	3.364800e+02
-1.500000e-05	-2.000000e-05	0.000000e+00	3.368554e+02
-1.500000e-05	-1.750000e-05	0.000000e+00	3.368950e+02
-1.500000e-05	-1.500000e-05	0.000000e+00	3.368301e+02
-1.500000e-05	-1.250000e-05	0.000000e+00	3.367332e+02
-1.500000e-05	-1.000000e-05	0.000000e+00	3.365500e+02
-1.500000e-05	-7.500000e-06	0.000000e+00	3.363154e+02
-1.500000e-05	-5.000000e-06	0.000000e+00	3.361042e+02
-1.500000e-05	-2.500000e-06	0.000000e+00	3.359700e+02
-1.500000e-05	0.000000e+00	0.000000e+00	3.359261e+02
-1.500000e-05	2.500000e-06	0.000000e+00	3.359707e+02
-1.500000e-05	5.000000e-06	0.000000e+00	3.361056e+02
-1.500000e-05	7.500000e-06	0.000000e+00	3.363174e+02
-1.500000e-05	1.000000e-05	0.000000e+00	3.365527e+02
-1.500000e-05	1.250000e-05	0.000000e+00	3.367363e+02
-1.500000e-05	1.500000e-05	0.000000e+00	3.368336e+02
-1.500000e-05	1.750000e-05	0.000000e+00	3.368988e+02
-1.500000e-05	2.000000e-05	0.000000e+00	3.368592e+02
-1.500000e-05	2.250000e-05	0.000000e+00	3.364836e+02
-1.500000e-05	2.500000e-05	0.000000e+00	3.360984e+02
-1.250000e-05	-2.500000e-05	0.000000e+00	3.359620e+02
-1.250000e-05	-2.250000e-05	0.000000e+00	3.363707e+02
-1.250000e-05	-2.000000e-05	0.000000e+00	3.367229e+02
-1.250000e-05	-1.750000e-05	0.000000e+00	3.367761e+02
-1.250000e-05	-1.500000e-05	0.000000e+00	3.367327e+02
-1.250000e-05	-1.250000e-05	0.000000e+00	3.367740e+02
-1.250000e-05	-1.000000e-05	0.000000e+00	3.366217e+02
-1.250000e-05	-7.500000e-06	0.000000e+00	3.362091e+02
-1.250000e-05	-5.000000e-06	0.000000e+00	3.359667e+02
-1.250000e-05	-2.500000e-06	0.000000e+00	3.358276e+02
-1.250000e-05	0.000000e+00	0.000000e+00	3.357837e+02
-1.250000e-05	2.500000e-06	0.000000e+00	3.358284e+02
-1.250000e-05	5.000000e-06	0.000000e+00	3.359682e+02
-1.250000e-05	7.500000e-06	0.000000e+00	3.362114e+02
-1.250000e-05	1.000000e-05	0.000000e+00	3.366248e+02
-1.250000e-05	1.250000e-05	0.000000e+00	3.367776e+02
-1.250000e-05	1.500000e-05	0.000000e+00	3.367365e+02
-1.250000e-05	1.750000e-05	0.000000e+00	3.367801e+02
-1.250000e-05	2.000000e-05	0.000000e+00	3.367271e+02
-1.250000e-05	2.250000e-05	0.000000e+00	3.363749e+02
-1.250000e-05	2.500000e-05	0.000000e+00	3.359658e+02
-1.000000e-05	-2.500000e-05	0.000000e+00	3.357115e+02
-1.000000e-05	-2.250000e-05	0.000000e+00	3.361685e+02
-1.000000e-05	-2.000000e-05	0.000000e+00	3.364823e+02
-1.000000e-05	-1.750000e-05	0.000000e+00	3.365692e+02
-1.000000e-05	-1.500000e-05	0.000000e+00	3.365491e+02
-1.000000e-05	-1.250000e-05	0.000000e+00	3.366212e+02
-1.000000e-05	-1.000000e-05	0.000000e+00	3.364778e+02
-1.000000e-05	-7.500000e-06	0.000000e+00	3.360103e+02
-1.000000e-05	-5.000000e-06	0.000000e+00	3.357620e+02
-1.000000e-05	-2.500000e-06	0.000000e+00	3.356209e+02
-1.000000e-05	0.000000e+00	0.000000e+00	3.355762e+02
-1.000000e-05	2.500000e-06	0.000000e+00	3.356217e+02
-1.000000e-05	5.000000e-06	0.000000e+00	3.357637e+02
-1.000000e-05	7.500000e-06	0.000000e+00	3.360128e+02
-1.000000e-05	1.000000e-05	0.000000e+00	3.364813e+02
-1.000000e-05	1.250000e-05	0.000000e+00	3.366251e+02
-1.000000e-05	1.500000e-05	0.000000e+00	3.365532e+02
-1.000000e-05	1.750000e-05	0.000000e+00	3.365736e+02
-1.000000e-05	2.000000e-05	0.000000e+00	3.364870e+02
-1.000000e-05	2.250000e-05	0.000000e+00	3.361732e+02
-1.000000e-05	2.500000e-05	0.000000e+00	3.357161e+02
-7.500000e-06	-2.500000e-05	0.000000e+00	3.355483e+02
-7.500000e-06	-2.250000e-05	0.000000e+00	3.359756e+02
-7.500000e-06	-2.000000e-05	0.000000e+00	3.363042e+02
-7.500000e-06	-1.750000e-05	0.000000e+00	3.363657e+02
-7.500000e-06	-1.500000e-05	0.000000e+00	3.363139e+02
-7.500000e-06	-1.250000e-05	0.000000e+00	3.362081e+02
-7.500000e-06	-1.000000e-05	0.000000e+00	3.360097e+02
-7.500000e-06	-7.500000e-06	0.000000e+00	3.357509e+02
-7.500000e-06	-5.000000e-06	0.000000e+00	3.355304e+02
-7.500000e-06	-2.500000e-06	0.000000e+00	3.353907e+02
-7.500000e-06	0.000000e+00	0.000000e+00	3.353441e+02
-7.500000e-06	2.500000e-06	0.000000e+00	3.353916e+02
-7.500000e-06	5.000000e-06	0.000000e+00	3.355321e+02
-7.500000e-06	7.500000e-06	0.000000e+00	3.357535e+02
-7.500000e-06	1.000000e-05	0.000000e+00	3.360131e+02
-7.500000e-06	1.250000e-05	0.000000e+00	3.362120e+02
-7.500000e-06	1.500000e-05	0.000000e+00	3.363183e+02
-7.500000e-06	1.750000e-05	0.000000e+00	3.363704e+02
-7.500000e-06	2.000000e-05	0.000000e+00	3.363092e+02
-7.500000e-06	2.250000e-05	0.000000e+00	3.359808e+02
-7.500000e-06	2.500000e-05	0.000000e+00	3.355536e+02
-5.000000e-06	-2.500000e-05	0.000000e+00	3.352818e+02
-5.000000e-06	-2.250000e-05	0.000000e+00	3.357684e+02
-5.000000e-06	-2.000000e-05	0.000000e+00	3.360531e+02
-5.000000e-06	-1.750000e-05	0.000000e+00	3.361474e+02
-5.000000e-06	-1.500000e-05	0.000000e+00	3.361023e+02
-5.000000e-06	-1.250000e-05	0.000000e+00	3.359652e+02
-5.000000e-06	-1.000000e-05	0.000000e+00	3.357609e+02
-5.000000e-06	-7.500000e-06	0.000000e+00	3.355298e+02
-5.000000e-06	-5.000000e-06	0.000000e+00	3.353244e+02
-5.000000e-06	-2.500000e-06	0.000000e+00	3.351873e+02
-5.000000e-06	0.000000e+00	0.000000e+00	3.351399e+02
-5.000000e-06	2.500000e-06	0.000000e+00	3.351882e+02
-5.000000e-06	5.000000e-06	0.000000e+00	3.353263e+02
-5.000000e-06	7.500000e-06	0.000000e+00	3.355325e+02
-5.000000e-06	1.000000e-05	0.000000e+00	3.357643e+02
-5.000000e-06	1.250000e-05	0.000000e+00	3.359692e+02
-5.000000e-06	1.500000e-05	0.000000e+00	3.361068e+02
-5.000000e-06	1.750000e-05	0.000000e+00	3.361523e+02
-5.000000e-06	2.000000e-05	0.000000e+00	3.360583e+02
-5.000000e-06	2.250000e-05	0.000000e+00	3.357739e+02
-5.000000e-06	2.500000e-05	0.000000e+00	3.352874e+02
-2.500000e-06	-2.500000e-05	0.000000e+00	3.351527e+02
-2.500000e-06	-2.250000e-05	0.000000e+00	3.356487e+02
-2.500000e-06	-2.000000e-05	0.000000e+00	3.359249e+02
-2.500000e-06	-1.750000e-05	0.000000e+00	3.360144e+02
-2.500000e-06	-1.500000e-05	0.000000e+00	3.359677e+02
-2.500000e-06	-1.250000e-05	0.000000e+00	3.358256e+02
-2.500000e-06	-1.000000e-05	0.000000e+00	3.356193e+02
-2.500000e-06	-7.500000e-06	0.000000e+00	3.353896e+02
-2.500000e-06	-5.000000e-06	0.000000e+00	3.351867e+02
-2.500000e-06	-2.500000e-06	0.000000e+00	3.350502e+02
-2.500000e-06	0.000000e+00	0.000000e+00	3.350026e+02
-2.500000e-06	2.500000e-06	0.000000e+00	3.350512e+02
-2.500000e-06	5.000000e-06	0.000000e+00	3.351886e+02
-2.500000e-06	7.500000e-06	0.000000e+00	3.353923e+02
-2.500000e-06	1.000000e-05	0.000000e+00	3.356228e+02
-2.500000e-06	1.250000e-05	0.000000e+00	3.358298e+02
-2.500000e-06	1.500000e-05	0.000000e+00	3.359725e+02
-2.500000e-06	1.750000e-05	0.000000e+00	3.360196e+02
-2.500000e-06	2.000000e-05	0.000000e+00	3.359304e+02
-2.500000e-06	2.250000e-05	0.000000e+00	3.356546e+02
-2.500000e-06	2.500000e-05	0.000000e+00	3.351589e+02
0.000000e+00	-2.500000e-05	0.000000e+00	3.351161e+02
0.000000e+00	-2.250000e-05	0.000000e+00	3.356161e+02
